year,month,electricity_kwh,gas_m3,diesel_kg,water_m3,co2e_kg,hdd,cdd,occupancy,ambient_temp_c,notes
2021,1,107611.71,10884.86,1436.42,963.25,105538.19,418.5,0,0.85,4.5,demo - 2021-01
2021,2,88159.27,8815.93,1349.38,904.88,86689.04,336.0,0,0.77,6.0,demo - 2021-02
2021,3,90627.19,8108.75,1384.8,928.63,87003.66,248.0,0,0.85,10.0,demo - 2021-03
2021,4,74612.14,5280.24,1377.45,923.71,69283.71,75.0,0,0.85,15.5,demo - 2021-04
2021,5,63686.49,2997.01,1450.17,972.46,56825.72,0,0,0.85,21.0,demo - 2021-05
2021,6,62569.58,981.48,1472.23,1195.1,51746.77,0,0,0.85,25.0,demo - 2021-06
2021,7,81700.82,-726.23,1405.61,1141.02,61617.15,0,77.5,0.85,28.5,demo - 2021-07
2021,8,78248.53,-474.23,1376.81,1117.64,59493.24,0,62.0,0.77,28.0,demo - 2021-08
2021,9,60240.58,1417.43,1417.43,1150.62,50731.28,0,0,0.85,24.0,demo - 2021-09
2021,10,59269.61,3951.31,1349.59,905.02,55167.57,0,0,0.85,18.5,demo - 2021-10
2021,11,81295.12,6641.01,1374.0,921.39,77054.6,165.0,0,0.85,12.5,demo - 2021-11
2021,12,102769.93,10153.17,1437.9,964.24,100450.64,356.5,0,0.85,6.5,demo - 2021-12
2022,1,108208.05,10783.43,1423.03,954.27,105692.36,418.5,0,0.85,4.5,demo - 2022-01
2022,2,91317.6,8996.81,1377.06,923.44,89481.87,336.0,0,0.77,6.0,demo - 2022-02
2022,3,94943.68,8369.42,1429.31,958.48,90879.55,248.0,0,0.85,10.0,demo - 2022-03
2022,4,80297.22,5598.59,1460.5,979.4,74419.38,75.0,0,0.85,15.5,demo - 2022-04
2022,5,60032.12,2783.29,1346.75,903.12,53342.64,0,0,0.85,21.0,demo - 2022-05
2022,6,62322.32,963.16,1444.74,1172.79,51461.94,0,0,0.85,25.0,demo - 2022-06
2022,7,80699.44,-706.73,1367.86,1110.38,60915.4,0,77.5,0.85,28.5,demo - 2022-07
2022,8,80386.22,-479.99,1393.52,1131.21,61095.44,0,62.0,0.77,28.0,demo - 2022-08
2022,9,58622.67,1358.97,1358.97,1103.17,49215.89,0,0,0.85,24.0,demo - 2022-09
2022,10,60601.83,3980.42,1359.53,911.69,56231.01,0,0,0.85,18.5,demo - 2022-10
2022,11,88033.1,7085.16,1465.9,983.01,83270.38,165.0,0,0.85,12.5,demo - 2022-11
2022,12,103837.1,10107.0,1431.36,959.85,101096.13,356.5,0,0.85,6.5,demo - 2022-12
2023,1,112673.3,11064.89,1460.18,979.18,109702.56,418.5,0,0.85,4.5,demo - 2023-01
2023,2,97522.31,9468.19,1449.21,971.82,95303.25,336.0,0,0.77,6.0,demo - 2023-02
2023,3,95840.31,8325.42,1421.8,953.44,91402.7,248.0,0,0.85,10.0,demo - 2023-03
2023,4,82777.62,5687.48,1483.69,994.95,76503.85,75.0,0,0.85,15.5,demo - 2023-04
2023,5,63303.36,2892.22,1399.46,938.46,56109.35,0,0,0.85,21.0,demo - 2023-05
2023,6,64057.37,975.55,1463.33,1187.88,52861.54,0,0,0.85,25.0,demo - 2023-06
2023,7,87881.85,-758.42,1467.91,1191.6,66369.3,0,77.5,0.85,28.5,demo - 2023-07
2023,8,84625.81,-497.95,1445.65,1173.53,64339.27,0,62.0,0.77,28.0,demo - 2023-08
2023,9,59198.03,1352.33,1352.33,1097.77,49593.25,0,0,0.85,24.0,demo - 2023-09
2023,10,62338.06,4034.83,1378.12,924.15,57673.97,0,0,0.85,18.5,demo - 2023-10
2023,11,84515.73,6703.01,1386.83,929.99,79572.29,165.0,0,0.85,12.5,demo - 2023-11
2023,12,99907.54,9582.9,1357.14,910.08,96797.86,356.5,0,0.85,6.5,demo - 2023-12
2024,1,107944.32,10448.33,1378.81,924.62,104582.57,418.5,0,0.85,4.5,demo - 2024-01
2024,2,96177.9,9203.63,1360.14,912.1,93347.73,348.0,0,0.77,6.0,demo - 2024-02
2024,3,94733.94,8111.19,1385.21,928.91,89984.51,248.0,0,0.85,10.0,demo - 2024-03
2024,4,81277.28,5504.24,1435.89,962.89,74827.64,75.0,0,0.85,15.5,demo - 2024-04
2024,5,64136.17,2888.2,1397.52,937.16,56669.6,0,0,0.85,21.0,demo - 2024-05
2024,6,61089.99,917.01,1375.51,1116.59,50194.05,0,0,0.85,25.0,demo - 2024-06
2024,7,89806.6,-763.91,1478.53,1200.22,67809.7,0,77.5,0.85,28.5,demo - 2024-07
2024,8,85055.21,-493.29,1432.13,1162.55,64605.58,0,62.0,0.77,28.0,demo - 2024-08
2024,9,60848.59,1370.08,1370.08,1112.18,50892.43,0,0,0.85,24.0,demo - 2024-09
2024,10,66504.63,4242.72,1449.13,971.77,61407.13,0,0,0.85,18.5,demo - 2024-10
2024,11,84643.02,6616.75,1368.98,918.02,79405.55,165.0,0,0.85,12.5,demo - 2024-11
2024,12,104533.2,9882.66,1399.59,938.55,100977.8,356.5,0,0.85,6.5,demo - 2024-12
2025,1,118006.99,11260.7,1486.02,996.5,114111.5,418.5,0,0.85,4.5,demo - 2025-01
2025,2,99482.41,9385.13,1436.5,963.3,96489.96,336.0,0,0.77,6.0,demo - 2025-02
2025,3,98835.42,8342.61,1424.73,955.41,93622.84,248.0,0,0.85,10.0,demo - 2025-03
2025,4,82841.94,5530.81,1442.82,967.54,76047.21,75.0,0,0.85,15.5,demo - 2025-04
2025,5,68209.24,3028.16,1465.24,982.57,60246.54,0,0,0.85,21.0,demo - 2025-05
2025,6,62091.6,918.85,1378.28,1118.84,50899.5,0,0,0.85,25.0,demo - 2025-06
2025,7,85673.57,-718.44,1390.52,1128.78,64484.88,0,77.5,0.85,28.5,demo - 2025-07
2025,8,82878.11,-473.86,1375.72,1116.76,62841.53,0,62.0,0.77,28.0,demo - 2025-08
2025,9,66647.52,1479.41,1479.41,1200.93,55745.02,0,0,0.85,24.0,demo - 2025-09
2025,10,68430.27,4303.79,1469.99,985.75,63014.45,0,0,0.85,18.5,demo - 2025-10
2025,11,87202.05,6720.33,1390.41,932.39,81569.72,165.0,0,0.85,12.5,demo - 2025-11
2025,12,108995.74,10158.73,1438.69,964.77,104979.34,356.5,0,0.85,6.5,demo - 2025-12
